Plant Info,Plant Genotype,m0_optimal_linear,k_optimal_linear,AIC_Linear,W0_optimal_ricker,kg_optimal_ricker,m_optimal_ricker,AIC_Ricker,P0_optimal_log,r_optimal_log,K_optimal_log,AIC_Logistic,m0_optimal_exp,k_optimal_exp,AIC_Exponential,m0_optimal_gvb,k_optimal_gvb,f_optimal_gvb,A_optimal_gvb,AIC_Gen_VB,Linear_AIC_Weight,Ricker_AIC_Weight,Logistic_AIC_Weight,Exponential_AIC_Weight,Gen_VB_AIC_Weight
238_GW-10986_6,GW-10986,0.23135895495578215,0.004018759538030749,-54.13926367045465,0.23178605574933198,0.012743013714947033,1.3160883709955173,-48.022294998407816,0.19935769973055775,0.10593474533220397,0.3549590448594239,-51.76977900485947,0.23945604423437078,0.012732719358826375,-52.87591421687376,0.19575724291519944,0.08468910377512275,0.11470517769236752,0.8002924775126786,-43.22255467245847,0.5294521110863378,0.02486244378556714,0.16191967620750353,0.2815100060440626,0.0022557628765288466
239_LILC-26-2_5,LILC-26-2,0.033441409019940416,0.001764843994682988,-66.81344515388957,0.021298872712632554,0.10037822009927172,1.4436174492844016,-66.46773800162008,0.023026993123432215,0.1438031654068604,0.08691480130198435,-66.8318279132665,0.040998454244123204,0.024184208390715,-63.80216875524904,0.02086668779287042,0.09250139437249785,0.2451825639154477,0.8091756093379918,-57.36186439627501,0.32454530741831206,0.27302724056803473,0.3275420776940254,0.07200870030764878,0.002876674011979063
240_BESC-1170_2,BESC-1170,0.1512017296725114,0.004543518946749135,-52.47052542265427,0.11770016843855938,0.08554245723861725,0.9455210622573016,-53.21008559142466,0.12246167441056546,0.10904655276635729,0.29746903145840564,-53.29423994458665,0.16599972585173586,0.017925610000257497,-49.8626849721078,0.11661417499958347,0.081095053209993,0.1668782551958198,0.8097082885470703,-44.191335173887694,0.2356028956067137,0.34101546441238556,0.35567059338546286,0.06395805748844145,0.0037529891069964013
242_GW-9959_2,GW-9959,0.1019282551156616,0.002715612697379078,-62.36745399366758,0.07848851955074895,0.0928416021200412,0.8799708790146389,-69.08446780086256,0.08047618624126353,0.11956644973047831,0.1854952488848869,-69.87460015839571,0.11010335894964098,0.016685641308671974,-59.483648917277634,0.0781140598769604,0.08740046100754538,0.16312710252970467,0.8,-59.89040204614079,0.013708806293708999,0.39407660726806754,0.58499979912461,0.0032418231860851586,0.00397296412752835
243_BESC-1108_4,BESC-1108,0.0951237497924184,0.011868205530163784,-56.28186980995194,0.12421534383032135,0.05749907394225614,1.5,-40.0110821427204,0.11254306711023107,0.08397781458378402,0.6170854356764386,-45.99173450061157,0.1517901943310505,0.03589303207919443,-45.7824504220253,0.09767622772814578,0.043629600844270804,0.2294118138378099,0.8714211918000779,-39.59745466851692,0.9885248560009319,0.00028962159694905155,0.005761201995979522,0.005188808493712918,0.00023551191242658675
244_BESC-1159_7,BESC-1159,0.08747568474765301,0.00014433131497357333,-83.4189051006137,0.08747385235704329,0.001546553343682786,1.0666834323535808,-77.41984745953714,0.087485361713979,0.002062405993513447,0.40948794097812863,-77.43467419946985,0.08747596715035298,0.0016185777150898595,-83.44077074928258,0.08741021500137504,0.016251633787631125,0.02400757079918685,0.8000021986114667,-68.19807260974834,0.4736015058573437,0.023590343218226405,0.02376587700467119,0.47880771535572747,0.00023455856403120496
245_GW-9842_8,GW-9842,0.08690389682905962,0.0008198671531021755,-78.54543615984507,0.08687987477220359,0.008796154873006133,1.0752499557611552,-72.53156709100308,0.0873866146971208,0.010574794090823472,0.4333752466310872,-72.6959783986641,0.08759330207637045,0.008085614870399566,-78.73419932840858,0.08661333784485575,0.010044268242741069,0.15663850467129373,0.8129510565038761,-63.43423516354508,0.4540038595382236,0.02244731852070781,0.024370583691961368,0.49894071619465313,0.0002375220544541263
246_BESC-430_3,BESC-430,0.13942940947377636,0.012116643879850467,-46.62697540491284,0.13040634994431197,0.06977604267065932,1.5,-44.48294236953581,0.11403195347567606,0.12349691515765554,0.5412842370710388,-47.59048592568945,0.19649831156145645,0.03069353366778901,-39.581890277367116,0.10101912585582382,0.07130434549390884,0.22845201358676598,0.8540712733664662,-38.65129796037674,0.3323037379602592,0.11375339532091631,0.5379710156411158,0.00981102604917235,0.0061608250285364015
247_CA-01-03_8,CA-01-03,0.20482783004597613,0.002859053987822406,-43.625028455959786,0.10998431726170176,0.21327962746497345,0.9443829701779642,-47.906699769270645,0.1164758058735201,0.2496943223303574,0.28254074605470264,-48.5717732689413,0.21309743225115113,0.009958191296110398,-43.065661731678915,0.10841130030746629,0.2078200900362695,0.14694555891906722,0.8342641826464262,-38.799933114940295,0.04501556731658261,0.3829268684564855,0.5339919568702369,0.03403280825996458,0.004032799096730411
318_BESC-1132_6,BESC-1132,0.06147030959381315,0.0,-72.13803789559772,0.06147030953817982,0.0,1.0135340058946034,-66.13803789559759,0.061470309538699044,0.0,0.38439634422610924,-66.13803789559759,0.06147030953844779,0.0,-72.13803789559759,0.06097878501476132,0.01,0.01,0.8,-56.68350873714468,0.47618712370548394,0.023707960883819896,0.023707960883819896,0.47618712370545346,0.00020983082142279533
