Plant Info,Plant Genotype,m0_optimal_linear,k_optimal_linear,Cost_Linear,AIC_Linear,R2_Linear,R2_adj_Linear,W0_optimal_ricker,kg_optimal_ricker,m_optimal_ricker,Cost_Ricker,AIC_Ricker,R2_Ricker,R2_adj_Ricker,P0_optimal_log,r_optimal_log,K_optimal_log,Cost_Logistic,AIC_Logistic,R2_Logistic,R2_adj_Logistic,m0_optimal_exp,k_optimal_exp,Cost_Exponential,AIC_Exponential,R2_Exponential,R2_adj_Exponential,m0_optimal_gvb,k_optimal_gvb,f_optimal_gvb,A_optimal_gvb,Cost_Gen_VB,AIC_Gen_VB,R2_Gen_VB,R2_adj_Gen_VB,Linear_AIC_Weight,Ricker_AIC_Weight,Logistic_AIC_Weight,Exponential_AIC_Weight,Gen_VB_AIC_Weight
105_LILC-26-2_1,LILC-26-2,0.052918318778144104,0.03541649025477121,0.020883507616546858,-16.281568785446698,0.8513958473576193,0.777093771036429,0.21219434671435425,0.09938463836792745,1.5,0.031147511091685554,-6.283146563825568,0.778358617829525,0.55671723565905,0.006490109296509998,0.4975534324946664,0.8832029997353801,0.004107527037812492,-20.464538878691435,0.9707714055455822,0.9415428110911643,0.25810982585963765,0.04772025699743319,0.04413987923505441,-11.042741298768878,0.6859067225725519,0.5288600838588279,5.0689415184292825e-05,0.2496164048222677,0.24565756740819522,0.9713046083577768,0.0037200033258782223,-9.158215016509367,0.9735289706969072,0.9205869120907217,0.10863766614756971,0.0007325725272569816,0.8796316389718024,0.007913771247839159,0.0030843511055316263
106_CHWK-27-4_6,CHWK-27-4,0.0,0.03464734722345526,0.0035609305220296286,-28.664133699760587,0.9708091701794122,0.9562137552691182,0.20695486623289533,0.07958260321371959,1.5,0.02670361911533476,-7.360693227595853,0.7810963184012812,0.5621926368025625,0.041823335470033564,0.22490519141151877,1.0003381807699827,0.0009273301513880889,-30.882406338081353,0.9923981845561983,0.9847963691123967,0.1929185933880955,0.05632635355299344,0.02043142823827667,-16.434766746061385,0.8325127825422581,0.7487691738133873,0.00710246657042184,0.127597710878019,0.29834443662989046,0.929482284821609,0.00011408251953660674,-33.55011961089824,0.9990648052825813,0.997194415847744,0.06434425462798857,1.5223918594228404e-06,0.1950749738684128,0.00014221207779340397,0.7404370370339457
107_GW-9842_6,GW-9842,0.17600345302824025,0.02810341355920514,0.04607589237999216,-10.742257853388995,0.6205040429754138,0.43075606446312076,0.18067994217163258,0.162660317133173,1.5,0.041551072709861844,-4.265823584821224,0.6577719217376585,0.31554384347531705,0.007387796370040508,0.8157243983722298,0.7587954883107919,0.02769601452409744,-7.105267292959322,0.7718866636177567,0.5437733272355134,0.3051074169751351,0.039777016110282344,0.05718279332646408,-9.230515692750448,0.5290240132562509,0.2935360198843764,6.853129646293995e-06,0.47933561521686774,0.34802554899800414,0.9632129240582415,0.028234622003915803,5.029555735865969,0.7674505181530401,0.3023515544591203,0.5982718675466466,0.02347246763634132,0.09708141908404991,0.28094929222198023,0.00022495351098188307
109_BESC-14_4,BESC-14,0.09293889559283601,0.03700610553953823,0.024403513120311412,-15.191197236945666,0.8425910366278926,0.7638865549418389,0.22853185444726581,0.10652667616688316,1.5,0.027769885833065333,-7.08662162182857,0.8208770630526002,0.6417541261052004,0.026603026091950085,0.35314412315364097,1.0102686030000854,0.00041970023765308624,-36.43178874965823,0.9972928250530858,0.9945856501061716,0.3087014814358244,0.04375793218317329,0.05290028743478947,-9.775425546079244,0.6587794812105944,0.4881692218158915,0.0006223394220887181,0.2226445990236961,0.2823722807133248,0.9552789492891939,0.0010466606489284104,-18.03505362024648,0.9932487684482989,0.9797463053448967,2.441230082644233e-05,4.2434831215392275e-07,0.9998723440391626,1.6277542304144444e-06,0.00010119155746847798
110_BESC-1143_8,BESC-1143,0.0,0.036215811567430624,0.012462077300040082,-19.895455434136107,0.9152828401205945,0.8729242601808918,0.215550927505165,0.07969767867523168,1.5,0.03975636690634302,-4.574896938746335,0.7297363505024852,0.4594727010049704,0.016666864448220985,0.2913636695469402,1.0369116017447488,0.0010313127591655912,-30.138459353560968,0.9929891393063642,0.9859782786127285,0.20079227273284853,0.05630595318027091,0.03419570364912363,-12.829586869697206,0.7675377207600647,0.651306581140097,4.595217394110908e-05,0.18032670350497287,0.26518698016917763,0.9693745474546853,0.002404467007675334,-12.212989128909342,0.9836544413094491,0.9509633239283474,0.005929859951903933,2.794006611460152e-06,0.9937667841768033,0.0001732648922647363,0.00012729697241638054
111_BESC-1170_1,BESC-1170,0.0,0.03225029994433079,0.006031740477643181,-24.975037714258153,0.9519392154610624,0.9279088231915936,0.19423061980562123,0.07460667750428096,1.5,0.03679024749134342,-5.117657379262667,0.7068560618001704,0.4137121236003407,0.02905103381219178,0.22516617858372762,1.0051585364729974,0.0030111366815279293,-22.63806345513889,0.9760073246180593,0.9520146492361186,0.1485477849062682,0.06414374883052887,0.018957802875767565,-16.958777696649147,0.848944615120456,0.7734169226806841,0.001552422545799639,0.13061975233641093,0.2946789210018189,0.9466866133902028,0.0015090792917590615,-15.47378888275712,0.9879756871234381,0.9639270613703143,0.7475521993251002,3.644736795777356e-05,0.23236676456645364,0.013581032170348548,0.0064635565701399
112_BESC-1146_3,BESC-1146,0.0,0.03264400344904579,0.0044790402450195525,-27.058425405698852,0.9639004754242625,0.9458507131363938,0.19813408880780276,0.07374803992178978,1.5,0.03460993072053332,-5.54530236138557,0.7210558565532583,0.44211171310651665,0.026999032577716405,0.22920656561639502,1.0238781018651655,0.00034276204855935747,-37.84931861266126,0.9972374557229403,0.9944749114458806,0.15402825238699774,0.06321411718886907,0.01729633636076042,-17.600823996715594,0.8605974750461822,0.7908962125692733,0.002005999151912696,0.12501613983895055,0.30589017509930944,0.9422880432628272,8.274469786372753e-05,-35.79825433940002,0.9993331061810921,0.9979993185432762,0.0033283819626322092,7.091169174064125e-08,0.7335772377264084,2.9413120881947645e-05,0.26306489627838575
113_BESC-45_5,BESC-45,0.10826976396226975,0.03391258694516108,0.01439421992026847,-18.886499831844024,0.8840076533784699,0.8260114800677048,0.21653491768878427,0.10576615222471063,1.5,0.017306300271358467,-10.396792663678426,0.8605413568132942,0.7210827136265885,0.044733612273004,0.3182117884367455,0.9281241139741112,0.0019161308815425161,-25.802131043890576,0.9845593218239539,0.9691186436479078,0.29323423515027036,0.04378087928556354,0.035117611440549805,-12.643367667313761,0.7170132052104639,0.5755198078156958,0.012205763830555869,0.1802340091824647,0.30331172354253444,0.9175714962233181,0.0011922970671157853,-17.123114668066194,0.9903921618920112,0.9711764856760335,0.030102294602597234,0.0004316016672779283,0.9556741498543005,0.001327152034975454,0.012464801840848834
114_BESC-354_6,BESC-354,0.14905113877402748,0.03395174002280832,0.01914676074874935,-16.88935210415185,0.8516931080475348,0.7775396620713022,0.2220256229684425,0.11703387318916392,1.5,0.015334796948975086,-11.243415057657433,0.8812197998362103,0.7624395996724207,0.05488700271489202,0.32512184064704563,0.9576234316625384,0.001319876433723485,-28.411520103068156,0.9897765071483635,0.979553014296727,0.3320930823702513,0.040575526112418395,0.041313231566899256,-11.506007173816641,0.6799961596324061,0.5199942394486092,0.016749973774412927,0.19280984805780918,0.2913658353810198,0.9157232291693246,0.0005305914439731014,-22.79062769107884,0.9958901472168152,0.9876704416504457,0.0029591238974184695,0.0001758585536818279,0.9400915304862657,0.0002005324457286837,0.056572954616905397
115_BESC-1017_7,BESC-1017,0.06285004385497511,0.03593984550707633,0.020478543275264875,-16.41864327334659,0.8574794700537463,0.7862192050806194,0.21509796499734105,0.10362009708861986,1.5,0.028933880921164196,-6.799194142214414,0.7986345031061403,0.5972690062122805,0.011083644285135122,0.47291795494299077,0.8906168440337263,0.004770909822783971,-19.416527776187237,0.966796827922314,0.9335936558446281,0.2718740230535012,0.04657126433674702,0.04549700643214389,-10.830761235228607,0.6833633437438242,0.5250450156157364,0.0001304793861234073,0.2540306121056376,0.28992349579213667,0.961441289635638,0.0031583440253131266,-10.30395201954849,0.9780194880959183,0.934058464287755,0.1787855521535327,0.0014571208809176822,0.800414170146786,0.0109380335904367,0.008405123228327
